ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1009014,0,1009,4,MRESF35/18,MRESF35/18,35带18把压纱梳普通链块花边机,0,1,270.0000,35,132.0000,132.0000,3168,3168,NULL,0,0,0,0,NULL,NULL,NULL,1,132966,2012-01-02 16:37:16.000,107652,2009-04-24 08:40:16.000,132966,2012-01-02 16:37:16.000,NULL,NULL,NULL,NULL,332542,340740,NULL
1009015,0,1009,4,MRSJ73/1,MRSJ73/1,73梳带贾卡提花电脑机,0,1,280.0000,73,132.0000,132.0000,3168,3168,NULL,0,0,0,0,NULL,NULL,NULL,1,140418,2012-02-08 10:30:08.000,140100,2011-11-20 17:43:25.000,140418,2012-02-08 10:30:08.000,NULL,NULL,NULL,NULL,332543,394774,NULL
1009016,0,1009,4,RS45,RS45,RS45经编机,0,1,600.0000,45,132.0000,132.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,88888,2013-02-18 09:56:38.000,140100,2012-02-15 10:20:28.000,88888,2013-02-18 09:56:38.000,NULL,NULL,NULL,NULL,332542,401369,NULL
1009017,0,1009,4,RS41,RS41,RS41经编机,0,1,600.0000,41,132.0000,132.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,88888,2013-02-18 09:56:50.000,140100,2012-02-15 10:30:09.000,88888,2013-02-18 09:56:50.000,NULL,NULL,NULL,NULL,332542,401369,NULL
1009018,0,1009,4,FHMR41,FHMR41,NULL,0,1,375.0000,41,132.0000,132.0000,3168,3168,NULL,0,0,0,0,NULL,NULL,NULL,1,140100,2012-05-21 17:27:45.000,140100,2012-05-21 17:21:27.000,140100,2012-05-21 17:27:45.000,NULL,NULL,NULL,NULL,332542,413754,NULL
1009019,0,1009,4,ML41,ML41,41梳不带贾卡花边机,0,1,810.0000,41,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:07:33.000,140100,2012-09-27 14:32:20.000,108468,2016-04-13 17:07:33.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009020,0,1009,4,ML46,ML46,46梳不带贾卡花边机,0,1,910.0000,46,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:07:49.000,140100,2013-01-07 17:57:33.000,108468,2016-04-13 17:07:49.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009021,0,1009,4,LRJ83/1F,LRJ83/1F,83梳贾卡电脑花边机,0,1,510.0000,92,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:12:31.000,140100,2013-04-26 17:25:23.000,108468,2016-04-13 17:12:31.000,NULL,NULL,NULL,NULL,332543,462867,NULL
1009022,0,1009,4,LRJ83/1B,LRJ83/1B,83梳电脑贾卡机,0,1,510.0000,92,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:12:22.000,140100,2013-04-26 17:26:33.000,108468,2016-04-13 17:12:22.000,NULL,NULL,NULL,NULL,332543,462867,NULL
1009023,0,1009,4,LRT 71/1/36-28E,LRT 71/1/36-28E,电脑带贾卡28针压纱,0,1,510.0000,78,134.0000,134.0000,3752,3752,NULL,0,0,0,0,NULL,NULL,NULL,1,108468,2016-04-13 17:10:03.000,140100,2013-05-27 09:44:55.000,108468,2016-04-13 17:10:03.000,NULL,NULL,NULL,NULL,332543,467556,NULL
